Id,Date,Time,Temperature,Stabilized,Total[ppm],Total[cpm],K[%],K[cpm],U[ppm],U[cpm],Th[ppm],Th[cpm],Dose,Dose units,Latitude,Longitude,Altitude,Section,Height,notes,
73,8105,1/27/2019,10:00:50,23.6,1,255,2106.3,3.5,210.6,4.2,30.6,9.4,17.7,10.6, uR/h,0,0,0,1,18,bad data
74,8106,1/27/2019,10:00:50,23.7,1,255.3,2108.4,3.3,201.2,4.3,29.6,8.2,15.6,10.1, uR/h,0,0,0,1,18.25,shale
75,8107,1/27/2019,10:00:50,23.7,1,256.7,2120,3.2,198,3.3,31.7,13.2,24,10.9, uR/h,0,0,0,1,18.5,shale
76,8108,1/27/2019,10:00:50,23.7,1,244.5,2019.5,3.2,195.9,4.2,28.5,7.6,14.6,9.7, uR/h,0,0,0,1,18.75,shale
77,8109,1/27/2019,10:00:50,23.7,1,230.8,1906.5,2.9,164.6,1.2,18.1,10.5,18.8,8.2, uR/h,0,0,0,1,19,shale
78,8110,1/27/2019,10:00:50,23.7,1,222.9,1840.6,2.6,152,1.5,17.1,8.6,15.6,7.5, uR/h,0,0,0,1,19.25,sand/shale
79,8111,1/27/2019,10:00:50,23.6,1,245,2023.7,3.3,181.3,0,11.8,10.6,18.8,8.2, uR/h,0,0,0,1,19.5,shale
80,8112,1/27/2019,10:00:50,23.3,1,203.5,1680.6,2.9,170.8,3.7,23.3,5.2,10.4,8.1, uR/h,0,0,0,1,19.75,sand/shale
81,8113,1/27/2019,10:00:50,23.3,1,219.9,1816.5,2.6,160.4,3.4,25.4,7.8,14.6,8.4, uR/h,0,0,0,1,20.05,30cm between 112 and 113 (water)
82,8114,1/27/2019,10:00:50,23.2,1,242.5,2002.8,3.2,184.4,0,19.1,20.6,35.5,11.1, uR/h,0,0,0,1,20.3,shale
83,8115,1/27/2019,10:00:50,23.2,1,246.3,2034.1,2.7,174,2,32.7,19,33.4,11.1, uR/h,0,0,0,1,20.55,shale
84,8116,1/27/2019,10:00:50,23.2,1,245.3,2025.8,3.2,184.5,2.5,20.2,7.2,13.6,8.5, uR/h,0,0,0,1,20.8,shale
85,8117,1/27/2019,10:00:50,23.1,1,238,1966.1,3.3,198,3.7,26.5,7.6,14.6,9.6, uR/h,0,0,0,1,21.05,shale
